ua,method,path,status,final_status,final_url,location,content_type,content_length,response_ms,html_bytes,text_chars,body_sha256,contains_company,contains_phone,has_noindex,canonical,x_robots_tag,server,cache_status,error
browser,GET,/,200,200,https://huixiangqimao.cn/,,text/html,39608,159,39608,3489,950cbc74a8cbd88af97428270171a164101ab1cccd7192de4138bda15b241bcc,true,true,false,https://huixiangqimao.cn/,,nginx/1.26.3,,
browser,GET,/about/,200,200,https://huixiangqimao.cn/about/,,text/html,27300,68,27300,2672,e9f6617e9f753c672a7380ad0543c2229b8e1e16cdd3be960a87ccea0e68ce5f,true,true,false,https://huixiangqimao.cn/about/,,nginx/1.26.3,,
browser,GET,/baidu-crawl-audit-after-fix-missing-20260723/,404,404,https://huixiangqimao.cn/baidu-crawl-audit-after-fix-missing-20260723/,,text/html,17091,22,17091,840,b31db2e4cef79dfac2819b16967ee3aa36f891c23d57349dc366497b40a472d6,true,true,true,https://huixiangqimao.cn/404/,,nginx/1.26.3,,
browser,GET,/ByteDanceVerify.html,200,200,https://huixiangqimao.cn/ByteDanceVerify.html,,text/html,20,28,20,20,8ceae5490037d9a9f7396303a4acedc932e4ce645975588fa29b5751608a8d03,false,false,false,,,nginx/1.26.3,,
browser,GET,/contact/,200,200,https://huixiangqimao.cn/contact/,,text/html,22743,23,22743,1929,defd29f49a746e755396f2104a6a8622ccb03eed4c6be121b05d31f1ca644740,true,true,false,https://huixiangqimao.cn/contact/,,nginx/1.26.3,,
browser,GET,/news/,200,200,https://huixiangqimao.cn/news/,,text/html,31277,19,31277,2447,b79efa3821c5d4a555986fc3dbac169504433c9120de2dccb39addfb4ac6f101,true,true,false,https://huixiangqimao.cn/news/,,nginx/1.26.3,,
browser,GET,/news/baidu-crawl-audit-after-fix-missing-20260723/,404,404,https://huixiangqimao.cn/news/baidu-crawl-audit-after-fix-missing-20260723/,,text/html,17091,38,17091,840,b31db2e4cef79dfac2819b16967ee3aa36f891c23d57349dc366497b40a472d6,true,true,true,https://huixiangqimao.cn/404/,,nginx/1.26.3,,
browser,GET,/news/huzhou-truck-after-sales-service/,200,200,https://huixiangqimao.cn/news/huzhou-truck-after-sales-service/,,text/html,37345,39,37345,4849,32a5fb77ea480404d91f412dbbf46fc4a88d8fb5355284d25a7fd93c8ac99100,true,true,false,https://huixiangqimao.cn/news/huzhou-truck-after-sales-service/,,nginx/1.26.3,,
browser,GET,/robots.txt,200,200,https://huixiangqimao.cn/robots.txt,,text/plain,175,35,175,0,928d5eed5a784b792f1ee20b025eae35c1a24fb91a26bfa35e4a7e19ad592f5f,false,false,false,,,nginx/1.26.3,,
browser,GET,/services/,200,200,https://huixiangqimao.cn/services/,,text/html,31875,33,31875,2753,1b1076e5e1aeef79a80b56cfc4ae65b949344b1d25a9fbbce04892b33d6b9c55,true,true,false,https://huixiangqimao.cn/services/,,nginx/1.26.3,,
